year,Quebec,Ontario,difference
1996,61.4,65.6,4.199999999999996
1997,62.6,65.6,2.999999999999993
1998,65.4,65.3,-0.10000000000000853
1999,64.3,64.9,0.6000000000000085
2000,65.1,66,0.9000000000000057
2001,66.7,66.9,0.20000000000000284
2002,70.1,66.8,-3.299999999999997
2003,71.7,67.6,-4.1000000000000085
2004,73.5,68.5,-5
2005,74,69.3,-4.700000000000003
2006,74.5,67.4,-7.099999999999994
2007,74.2,68.4,-5.799999999999997
2008,72,67.9,-4.099999999999994
2009,73.1,68.8,-4.299999999999997
2010,75.1,70.7,-4.3999999999999915
2011,76.1,69.5,-6.599999999999994
2012,77,70.9,-6.099999999999994
2013,79.1,70.9,-8.199999999999989
2014,77.2,69.7,-7.5
2015,78.6,68.2,-10.399999999999991
2016,80,69.5,-10.5
